date,name,value,description
2022-09-15,Lisboa - Omitted due to Privacy Reasons,-7.18,Lisboa - Omitted due to Privacy Reasons
2022-09-15,Lisboa - Omitted due to Privacy Reasons,-2.8,Lisboa - Omitted due to Privacy Reasons
2022-09-15,Lisboa - Omitted due to Privacy Reasons,-0.59,Lisboa - Omitted due to Privacy Reasons
2022-09-15,NYXManuelRuiAzinhaisN - Omitted due to Privacy Reasons,-0.4,NYXManuelRuiAzinhaisN - Omitted due to Privacy Reasons
2022-09-15,PayPal - Omitted due to Privacy Reasons,-10.17,PayPal - Omitted due to Privacy Reasons
2022-09-14,Lisboa - Omitted due to Privacy Reasons,-5.44,Lisboa - Omitted due to Privacy Reasons
2022-09-14,Lisboa - Omitted due to Privacy Reasons,-24.61,Lisboa - Omitted due to Privacy Reasons
2022-09-14,NYXManuelRuiAzinhaisN - Omitted due to Privacy Reasons,-0.39,NYXManuelRuiAzinhaisN - Omitted due to Privacy Reasons
2022-09-14,NYXManuelRuiAzinhaisN - Omitted due to Privacy Reasons,-0.43,NYXManuelRuiAzinhaisN - Omitted due to Privacy Reasons
2022-09-14,NYXManuelRuiAzinhaisN - Omitted due to Privacy Reasons,-0.37,NYXManuelRuiAzinhaisN - Omitted due to Privacy Reasons
2022-09-14,Lisboa - Omitted due to Privacy Reasons,-13.13,Lisboa - Omitted due to Privacy Reasons
2022-09-14,NYXManuelRuiAzinhaisN - Omitted due to Privacy Reasons,-0.38,NYXManuelRuiAzinhaisN - Omitted due to Privacy Reasons
2022-09-14,AH - Omitted due to Privacy Reasons,-67.91,AH - Omitted due to Privacy Reasons
2022-09-14,PayPal - Omitted due to Privacy Reasons,-5.21,PayPal - Omitted due to Privacy Reasons
2022-09-13,Lisboa - Omitted due to Privacy Reasons,-10.54,Lisboa - Omitted due to Privacy Reasons
2022-09-13,Lisboa - Omitted due to Privacy Reasons,-7.19,Lisboa - Omitted due to Privacy Reasons
2022-09-13,Netflix - Omitted due to Privacy Reasons,-15.42,Netflix - Omitted due to Privacy Reasons
2022-09-13,park - Omitted due to Privacy Reasons,-1.53,park - Omitted due to Privacy Reasons
2022-09-12,HMS Host International - Omitted due to Privacy Reasons,-9.21,HMS Host International - Omitted due to Privacy Reasons
2022-09-12,betaalverzoek - Omitted due to Privacy Reasons,53.24,betaalverzoek - Omitted due to Privacy Reasons
2022-09-12,betaalverzoek - Omitted due to Privacy Reasons,60.39,betaalverzoek - Omitted due to Privacy Reasons
2022-09-12,Albert Heijn - Omitted due to Privacy Reasons,-1.59,Albert Heijn - Omitted due to Privacy Reasons
2022-09-12,Netflix - Omitted due to Privacy Reasons,4.33,Netflix - Omitted due to Privacy Reasons
2022-09-12,Netflix - Omitted due to Privacy Reasons,3.33,Netflix - Omitted due to Privacy Reasons
2022-09-12,Netflix - Omitted due to Privacy Reasons,3.71,Netflix - Omitted due to Privacy Reasons
2022-09-11,Kartbaan - Omitted due to Privacy Reasons,-55.98,Kartbaan - Omitted due to Privacy Reasons
2022-09-11,Tapa Tapa - Omitted due to Privacy Reasons,-168.5,Tapa Tapa - Omitted due to Privacy Reasons
2022-09-11,CCVPANDARVE - Omitted due to Privacy Reasons,-22.75,CCVPANDARVE - Omitted due to Privacy Reasons
2022-09-11,Kartbaan - Omitted due to Privacy Reasons,-2.86,Kartbaan - Omitted due to Privacy Reasons
2022-09-10,Tapperij - Omitted due to Privacy Reasons,-9.63,Tapperij - Omitted due to Privacy Reasons
2022-09-09,Albert Heijn - Omitted due to Privacy Reasons,-13.81,Albert Heijn - Omitted due to Privacy Reasons
2022-09-09,bol.com - Omitted due to Privacy Reasons,-21.19,bol.com - Omitted due to Privacy Reasons
2022-09-09,Albert Heijn - Omitted due to Privacy Reasons,-19.44,Albert Heijn - Omitted due to Privacy Reasons
2022-09-09,OranjePakket - Omitted due to Privacy Reasons,-2.27,OranjePakket - Omitted due to Privacy Reasons
2022-09-08,jumbo - Omitted due to Privacy Reasons,-29.46,jumbo - Omitted due to Privacy Reasons
2022-09-07,ijs - Omitted due to Privacy Reasons,-12.19,ijs - Omitted due to Privacy Reasons
2022-09-07,betaalverzoek - Omitted due to Privacy Reasons,-116.98,betaalverzoek - Omitted due to Privacy Reasons
2022-09-07,booking - Omitted due to Privacy Reasons,-398.25,booking - Omitted due to Privacy Reasons
2022-09-07,spaarrekening - Omitted due to Privacy Reasons,1989.18,spaarrekening - Omitted due to Privacy Reasons
2022-09-07,booking - Omitted due to Privacy Reasons,-453.84,booking - Omitted due to Privacy Reasons
2022-09-07,bar - Omitted due to Privacy Reasons,-37.27,bar - Omitted due to Privacy Reasons
2022-09-07,creditcard - Omitted due to Privacy Reasons,-26.47,creditcard - Omitted due to Privacy Reasons
2022-09-06,Albert Heijn - Omitted due to Privacy Reasons,-43.88,Albert Heijn - Omitted due to Privacy Reasons
2022-09-06,Albert Heijn - Omitted due to Privacy Reasons,-28.4,Albert Heijn - Omitted due to Privacy Reasons
2022-09-06,Hema - Omitted due to Privacy Reasons,-20.34,Hema - Omitted due to Privacy Reasons
2022-09-05,tikkie - Omitted due to Privacy Reasons,-33.44,tikkie - Omitted due to Privacy Reasons
2022-09-05,Albert Heijn - Omitted due to Privacy Reasons,-29.0,Albert Heijn - Omitted due to Privacy Reasons
2022-09-05,blokker - Omitted due to Privacy Reasons,-66.46,blokker - Omitted due to Privacy Reasons
2022-09-05,IKEA - Omitted due to Privacy Reasons,-1.35,IKEA - Omitted due to Privacy Reasons
2022-09-05,Albert Heijn - Omitted due to Privacy Reasons,-17.08,Albert Heijn - Omitted due to Privacy Reasons
2022-09-04,Tinq - Omitted due to Privacy Reasons,-62.79,Tinq - Omitted due to Privacy Reasons
2022-09-04,blokker - Omitted due to Privacy Reasons,-1.95,blokker - Omitted due to Privacy Reasons
2022-09-04,Albert Heijn - Omitted due to Privacy Reasons,-30.37,Albert Heijn - Omitted due to Privacy Reasons
2022-09-03,thuisbezorgd - Omitted due to Privacy Reasons,-13.12,thuisbezorgd - Omitted due to Privacy Reasons
2022-09-03,Albert Heijn - Omitted due to Privacy Reasons,-6.62,Albert Heijn - Omitted due to Privacy Reasons
2022-09-03,geldmaat - Omitted due to Privacy Reasons,-257.6,geldmaat - Omitted due to Privacy Reasons
2022-09-03,tikkie - Omitted due to Privacy Reasons,-10.61,tikkie - Omitted due to Privacy Reasons
2022-09-03,Albert Heijn - Omitted due to Privacy Reasons,-6.47,Albert Heijn - Omitted due to Privacy Reasons
2022-09-03,Albert Heijn - Omitted due to Privacy Reasons,-1.91,Albert Heijn - Omitted due to Privacy Reasons
2022-09-02,Boni - Omitted due to Privacy Reasons,-28.02,Boni - Omitted due to Privacy Reasons
2022-09-02,IKEA - Omitted due to Privacy Reasons,-6.6,IKEA - Omitted due to Privacy Reasons
2022-09-02,IKEA - Omitted due to Privacy Reasons,-506.61,IKEA - Omitted due to Privacy Reasons
2022-09-01,Albert Heijn - Omitted due to Privacy Reasons,-4.17,Albert Heijn - Omitted due to Privacy Reasons
2022-09-01,thuisbezorgd - Omitted due to Privacy Reasons,-12.41,thuisbezorgd - Omitted due to Privacy Reasons
2022-09-01,Pontiac - Omitted due to Privacy Reasons,-1427.32,Pontiac - Omitted due to Privacy Reasons
2022-09-01,inShared - Omitted due to Privacy Reasons,-39.04,inShared - Omitted due to Privacy Reasons
2022-09-01,PayPal - Omitted due to Privacy Reasons,-13.83,PayPal - Omitted due to Privacy Reasons
2022-08-31,A. Geworgjan - Omitted due to Privacy Reasons,-490.05,A. Geworgjan - Omitted due to Privacy Reasons
2022-08-31,Boni - Omitted due to Privacy Reasons,-8.86,Boni - Omitted due to Privacy Reasons
2022-08-31,Huur - Omitted due to Privacy Reasons,459.95,Huur - Omitted due to Privacy Reasons
2022-08-31,Praxis - Omitted due to Privacy Reasons,-14.73,Praxis - Omitted due to Privacy Reasons
2022-08-30,spaarrekening - Omitted due to Privacy Reasons,1813.1,spaarrekening - Omitted due to Privacy Reasons
2022-08-30,CoolBlue - Omitted due to Privacy Reasons,-495.28,CoolBlue - Omitted due to Privacy Reasons
2022-08-30,flatexbank - Omitted due to Privacy Reasons,-1087.65,flatexbank - Omitted due to Privacy Reasons
2022-08-30,spaarrekening - Omitted due to Privacy Reasons,-3920.12,spaarrekening - Omitted due to Privacy Reasons
2022-08-30,spaarrekening - Omitted due to Privacy Reasons,-2512.25,spaarrekening - Omitted due to Privacy Reasons
2022-08-30,openbb - Omitted due to Privacy Reasons,8629.85,openbb - Omitted due to Privacy Reasons
2022-08-30,Transfer provisie - Omitted due to Privacy Reasons,-6.52,Transfer provisie - Omitted due to Privacy Reasons
2022-08-30,,92.95,
2022-08-30,Villa Orloff - Omitted due to Privacy Reasons,-24.68,Villa Orloff - Omitted due to Privacy Reasons
2022-08-30,Boni - Omitted due to Privacy Reasons,-11.49,Boni - Omitted due to Privacy Reasons
2022-08-29,Refund - Omitted due to Privacy Reasons,7.51,Refund - Omitted due to Privacy Reasons
2022-08-29,Singelloop - Omitted due to Privacy Reasons,-2.75,Singelloop - Omitted due to Privacy Reasons
2022-08-29,Praxis - Omitted due to Privacy Reasons,-37.56,Praxis - Omitted due to Privacy Reasons
2022-08-29,GRILL - Omitted due to Privacy Reasons,-9.0,GRILL - Omitted due to Privacy Reasons
2022-08-29,AnderZorg NV - Omitted due to Privacy Reasons,-95.83,AnderZorg NV - Omitted due to Privacy Reasons
2022-08-29,Belastingdienst - Omitted due to Privacy Reasons,-21.1,Belastingdienst - Omitted due to Privacy Reasons
2022-08-28,Albert Heijn - Omitted due to Privacy Reasons,-10.8,Albert Heijn - Omitted due to Privacy Reasons
2022-08-28,GRILL - Omitted due to Privacy Reasons,-9.18,GRILL - Omitted due to Privacy Reasons
2022-08-27,Boni - Omitted due to Privacy Reasons,-6.7,Boni - Omitted due to Privacy Reasons
2022-08-27,,65.56,
2022-08-27,cafe - Omitted due to Privacy Reasons,50.49,cafe - Omitted due to Privacy Reasons
2022-08-27,betaalverzoek - Omitted due to Privacy Reasons,54.5,betaalverzoek - Omitted due to Privacy Reasons
2022-08-27,betaalverzoek - Omitted due to Privacy Reasons,-10.9,betaalverzoek - Omitted due to Privacy Reasons
2022-08-27,betaalverzoek - Omitted due to Privacy Reasons,51.6,betaalverzoek - Omitted due to Privacy Reasons
2022-08-27,cafe - Omitted due to Privacy Reasons,-227.42,cafe - Omitted due to Privacy Reasons
2022-08-27,jumbo - Omitted due to Privacy Reasons,-5.39,jumbo - Omitted due to Privacy Reasons
2022-08-26,spaarrekening - Omitted due to Privacy Reasons,966.73,spaarrekening - Omitted due to Privacy Reasons
2022-08-26,tikkie - Omitted due to Privacy Reasons,-44.57,tikkie - Omitted due to Privacy Reasons
2022-08-26,Albert Heijn - Omitted due to Privacy Reasons,-11.66,Albert Heijn - Omitted due to Privacy Reasons
2022-08-26,Disney+ - Omitted due to Privacy Reasons,-3.68,Disney+ - Omitted due to Privacy Reasons
2022-08-26,Albert Heijn - Omitted due to Privacy Reasons,-6.12,Albert Heijn - Omitted due to Privacy Reasons
2022-08-25,Meubelbaas - Omitted due to Privacy Reasons,86.23,Meubelbaas - Omitted due to Privacy Reasons
2022-08-25,Refund - Omitted due to Privacy Reasons,8.03,Refund - Omitted due to Privacy Reasons
2022-08-25,Refund - Omitted due to Privacy Reasons,7.03,Refund - Omitted due to Privacy Reasons
2022-08-25,Wereld Natuur Fonds - Omitted due to Privacy Reasons,-19.92,Wereld Natuur Fonds - Omitted due to Privacy Reasons
2022-08-25,NS GROEP - Omitted due to Privacy Reasons,-21.05,NS GROEP - Omitted due to Privacy Reasons
2022-08-24,Praxis - Omitted due to Privacy Reasons,-27.66,Praxis - Omitted due to Privacy Reasons
2022-08-24,Boni - Omitted due to Privacy Reasons,-21.24,Boni - Omitted due to Privacy Reasons
2022-08-24,Praxis - Omitted due to Privacy Reasons,-147.06,Praxis - Omitted due to Privacy Reasons
2022-08-24,Villa Orloff - Omitted due to Privacy Reasons,-44.34,Villa Orloff - Omitted due to Privacy Reasons
2022-08-24,Chidoz - Omitted due to Privacy Reasons,-26.89,Chidoz - Omitted due to Privacy Reasons
2022-08-24,Albert Heijn - Omitted due to Privacy Reasons,-8.72,Albert Heijn - Omitted due to Privacy Reasons
2022-08-24,Praxis - Omitted due to Privacy Reasons,-11.19,Praxis - Omitted due to Privacy Reasons
2022-08-24,blokker - Omitted due to Privacy Reasons,-105.15,blokker - Omitted due to Privacy Reasons
2022-08-24,Youfone - Omitted due to Privacy Reasons,-10.02,Youfone - Omitted due to Privacy Reasons
2022-08-23,Parkmobile - Omitted due to Privacy Reasons,-0.01,Parkmobile - Omitted due to Privacy Reasons
2022-08-23,pggm - Omitted due to Privacy Reasons,21.35,pggm - Omitted due to Privacy Reasons
2022-08-23,betaalverzoek - Omitted due to Privacy Reasons,35.59,betaalverzoek - Omitted due to Privacy Reasons
2022-08-23,betaalverzoek - Omitted due to Privacy Reasons,41.62,betaalverzoek - Omitted due to Privacy Reasons
2022-08-23,Spotify - Omitted due to Privacy Reasons,-3.62,Spotify - Omitted due to Privacy Reasons
2022-08-22,IKEA - Omitted due to Privacy Reasons,-1197.37,IKEA - Omitted due to Privacy Reasons
2022-08-22,Meubelbaas - Omitted due to Privacy Reasons,-922.57,Meubelbaas - Omitted due to Privacy Reasons
2022-08-22,spaarrekening - Omitted due to Privacy Reasons,1850.58,spaarrekening - Omitted due to Privacy Reasons
2022-08-22,Boni - Omitted due to Privacy Reasons,-15.12,Boni - Omitted due to Privacy Reasons
2022-08-22,Beatrix Utrecht - Omitted due to Privacy Reasons,-4.98,Beatrix Utrecht - Omitted due to Privacy Reasons
2022-08-22,Beatrix Utrecht - Omitted due to Privacy Reasons,-12.06,Beatrix Utrecht - Omitted due to Privacy Reasons
2022-08-22,cafe - Omitted due to Privacy Reasons,-130.74,cafe - Omitted due to Privacy Reasons
2022-08-22,Praxis - Omitted due to Privacy Reasons,-63.03,Praxis - Omitted due to Privacy Reasons
2022-08-22,Praxis - Omitted due to Privacy Reasons,-15.09,Praxis - Omitted due to Privacy Reasons
2022-08-22,Albert Heijn - Omitted due to Privacy Reasons,-4.83,Albert Heijn - Omitted due to Privacy Reasons
2022-08-22,Albert Heijn - Omitted due to Privacy Reasons,-9.23,Albert Heijn - Omitted due to Privacy Reasons
2022-08-21,betaalverzoek - Omitted due to Privacy Reasons,-40.76,betaalverzoek - Omitted due to Privacy Reasons
2022-08-21,spaarrekening - Omitted due to Privacy Reasons,909.0,spaarrekening - Omitted due to Privacy Reasons
2022-08-21,thuisbezorgd - Omitted due to Privacy Reasons,-27.67,thuisbezorgd - Omitted due to Privacy Reasons
2022-08-21,cafe - Omitted due to Privacy Reasons,-85.48,cafe - Omitted due to Privacy Reasons
2022-08-21,cafe - Omitted due to Privacy Reasons,-47.11,cafe - Omitted due to Privacy Reasons
2022-08-21,Utrecht Zuid Prx - Omitted due to Privacy Reasons,-34.04,Utrecht Zuid Prx - Omitted due to Privacy Reasons
2022-08-21,Utrecht Zuid Prx - Omitted due to Privacy Reasons,-0.22,Utrecht Zuid Prx - Omitted due to Privacy Reasons
2022-08-21,blokker - Omitted due to Privacy Reasons,-5.28,blokker - Omitted due to Privacy Reasons
2022-08-20,Albert Heijn - Omitted due to Privacy Reasons,-2.76,Albert Heijn - Omitted due to Privacy Reasons
2022-08-20,Boni - Omitted due to Privacy Reasons,-9.05,Boni - Omitted due to Privacy Reasons
2022-08-20,GBP Koers - Omitted due to Privacy Reasons,-24.15,GBP Koers - Omitted due to Privacy Reasons
2022-08-19,Utrecht Zuid Prx - Omitted due to Privacy Reasons,8.18,Utrecht Zuid Prx - Omitted due to Privacy Reasons
2022-08-19,Utrecht Zuid Prx - Omitted due to Privacy Reasons,-44.06,Utrecht Zuid Prx - Omitted due to Privacy Reasons
2022-08-19,Albert Heijn - Omitted due to Privacy Reasons,-4.17,Albert Heijn - Omitted due to Privacy Reasons
2022-08-19,Breeze Social - Omitted due to Privacy Reasons,-8.2,Breeze Social - Omitted due to Privacy Reasons
2022-08-19,IKEA - Omitted due to Privacy Reasons,-241.01,IKEA - Omitted due to Privacy Reasons
2022-08-19,IKEA - Omitted due to Privacy Reasons,-1.82,IKEA - Omitted due to Privacy Reasons
2022-08-19,IKEA - Omitted due to Privacy Reasons,-10.77,IKEA - Omitted due to Privacy Reasons
2022-08-18,thuisbezorgd - Omitted due to Privacy Reasons,-38.19,thuisbezorgd - Omitted due to Privacy Reasons
2022-08-18,Praxis - Omitted due to Privacy Reasons,-592.53,Praxis - Omitted due to Privacy Reasons
2022-08-18,jumbo - Omitted due to Privacy Reasons,-17.98,jumbo - Omitted due to Privacy Reasons
2022-08-18,Pizzeria - Omitted due to Privacy Reasons,-27.09,Pizzeria - Omitted due to Privacy Reasons
2022-08-18,Albert Heijn - Omitted due to Privacy Reasons,-1.38,Albert Heijn - Omitted due to Privacy Reasons
2022-08-17,tikkie - Omitted due to Privacy Reasons,20.65,tikkie - Omitted due to Privacy Reasons
2022-08-17,betaalverzoek - Omitted due to Privacy Reasons,18.45,betaalverzoek - Omitted due to Privacy Reasons
2022-08-17,Boni - Omitted due to Privacy Reasons,-13.9,Boni - Omitted due to Privacy Reasons
2022-08-16,Parkeergarage - Omitted due to Privacy Reasons,-7.49,Parkeergarage - Omitted due to Privacy Reasons
2022-08-15,,-9.71,
2022-08-15,Praxis - Omitted due to Privacy Reasons,-3.48,Praxis - Omitted due to Privacy Reasons
2022-08-15,Albert Heijn - Omitted due to Privacy Reasons,-4.98,Albert Heijn - Omitted due to Privacy Reasons
2022-08-15,ijs - Omitted due to Privacy Reasons,-4.71,ijs - Omitted due to Privacy Reasons
2022-08-15,Taphuys - Omitted due to Privacy Reasons,-107.26,Taphuys - Omitted due to Privacy Reasons
2022-08-15,jumbo - Omitted due to Privacy Reasons,-4.49,jumbo - Omitted due to Privacy Reasons
2022-08-15,Boni - Omitted due to Privacy Reasons,-10.42,Boni - Omitted due to Privacy Reasons
2022-08-15,Netflix - Omitted due to Privacy Reasons,-14.97,Netflix - Omitted due to Privacy Reasons
2022-08-14,tikkie - Omitted due to Privacy Reasons,-56.47,tikkie - Omitted due to Privacy Reasons
2022-08-14,tikkie - Omitted due to Privacy Reasons,-12.82,tikkie - Omitted due to Privacy Reasons
2022-08-14,,43.91,
2022-08-14,Lazy Lemon - Omitted due to Privacy Reasons,-177.56,Lazy Lemon - Omitted due to Privacy Reasons
2022-08-14,UNITY BV UTRECHT - Omitted due to Privacy Reasons,-180.95,UNITY BV UTRECHT - Omitted due to Privacy Reasons
2022-08-14,Tinq - Omitted due to Privacy Reasons,-60.18,Tinq - Omitted due to Privacy Reasons
2022-08-14,Praxis - Omitted due to Privacy Reasons,-205.8,Praxis - Omitted due to Privacy Reasons
2022-08-13,betaalverzoek - Omitted due to Privacy Reasons,65.43,betaalverzoek - Omitted due to Privacy Reasons
2022-08-13,spaarrekening - Omitted due to Privacy Reasons,967.27,spaarrekening - Omitted due to Privacy Reasons
2022-08-13,cafe - Omitted due to Privacy Reasons,-8.25,cafe - Omitted due to Privacy Reasons
2022-08-13,Horeca - Omitted due to Privacy Reasons,-21.1,Horeca - Omitted due to Privacy Reasons
2022-08-13,spaarrekening - Omitted due to Privacy Reasons,473.46,spaarrekening - Omitted due to Privacy Reasons
2022-08-12,Netflix - Omitted due to Privacy Reasons,3.44,Netflix - Omitted due to Privacy Reasons
2022-08-12,Netflix - Omitted due to Privacy Reasons,3.61,Netflix - Omitted due to Privacy Reasons
2022-08-12,Netflix - Omitted due to Privacy Reasons,3.28,Netflix - Omitted due to Privacy Reasons
2022-08-11,amazon - Omitted due to Privacy Reasons,-24.99,amazon - Omitted due to Privacy Reasons
2022-08-11,SiteDish - Omitted due to Privacy Reasons,-45.07,SiteDish - Omitted due to Privacy Reasons
2022-08-11,Boni - Omitted due to Privacy Reasons,-20.9,Boni - Omitted due to Privacy Reasons
2022-08-10,Boni - Omitted due to Privacy Reasons,-10.84,Boni - Omitted due to Privacy Reasons
2022-08-10,tikkie - Omitted due to Privacy Reasons,-10.99,tikkie - Omitted due to Privacy Reasons
2022-08-10,Boni - Omitted due to Privacy Reasons,-45.86,Boni - Omitted due to Privacy Reasons
2022-08-09,Albert Heijn - Omitted due to Privacy Reasons,-5.66,Albert Heijn - Omitted due to Privacy Reasons
2022-08-09,Decathlon - Omitted due to Privacy Reasons,-122.97,Decathlon - Omitted due to Privacy Reasons
2022-08-09,PayPal - Omitted due to Privacy Reasons,-9.11,PayPal - Omitted due to Privacy Reasons
2022-08-09,OranjePakket - Omitted due to Privacy Reasons,-2.15,OranjePakket - Omitted due to Privacy Reasons
2022-08-08,Boni - Omitted due to Privacy Reasons,-17.1,Boni - Omitted due to Privacy Reasons
2022-08-08,Pontiac - Omitted due to Privacy Reasons,-1109.35,Pontiac - Omitted due to Privacy Reasons
2022-08-08,Pontiac - Omitted due to Privacy Reasons,-1462.42,Pontiac - Omitted due to Privacy Reasons
2022-08-08,spaarrekening - Omitted due to Privacy Reasons,2453.38,spaarrekening - Omitted due to Privacy Reasons
2022-08-08,Travel - Omitted due to Privacy Reasons,-7.8,Travel - Omitted due to Privacy Reasons
2022-08-08,Starbucks - Omitted due to Privacy Reasons,-9.87,Starbucks - Omitted due to Privacy Reasons
2022-08-08,PayPal - Omitted due to Privacy Reasons,-27.49,PayPal - Omitted due to Privacy Reasons
2022-08-08,PayPal - Omitted due to Privacy Reasons,-17.22,PayPal - Omitted due to Privacy Reasons
2022-08-07,thuisbezorgd - Omitted due to Privacy Reasons,-11.04,thuisbezorgd - Omitted due to Privacy Reasons
2022-08-07,Coop - Omitted due to Privacy Reasons,-5.6,Coop - Omitted due to Privacy Reasons
2022-08-07,Travel - Omitted due to Privacy Reasons,-9.91,Travel - Omitted due to Privacy Reasons
2022-08-07,Coop - Omitted due to Privacy Reasons,-2.94,Coop - Omitted due to Privacy Reasons
2022-08-07,GBP Koers - Omitted due to Privacy Reasons,-23.92,GBP Koers - Omitted due to Privacy Reasons
2022-08-06,Zalando - Omitted due to Privacy Reasons,-161.05,Zalando - Omitted due to Privacy Reasons
2022-08-06,Travel - Omitted due to Privacy Reasons,-9.93,Travel - Omitted due to Privacy Reasons
2022-08-06,McDonalds - Omitted due to Privacy Reasons,-2.58,McDonalds - Omitted due to Privacy Reasons
2022-08-06,GBP Koers - Omitted due to Privacy Reasons,-6.53,GBP Koers - Omitted due to Privacy Reasons
2022-08-06,McDonalds - Omitted due to Privacy Reasons,-4.59,McDonalds - Omitted due to Privacy Reasons
2022-08-06,GBP Koers - Omitted due to Privacy Reasons,-11.98,GBP Koers - Omitted due to Privacy Reasons
2022-08-06,GBP Koers - Omitted due to Privacy Reasons,-8.62,GBP Koers - Omitted due to Privacy Reasons
2022-08-06,A. Geworgjan - Omitted due to Privacy Reasons,-448.36,A. Geworgjan - Omitted due to Privacy Reasons
2022-08-05,Caffe - Omitted due to Privacy Reasons,-12.62,Caffe - Omitted due to Privacy Reasons
2022-08-05,Travel - Omitted due to Privacy Reasons,-1.99,Travel - Omitted due to Privacy Reasons
2022-08-05,tikkie - Omitted due to Privacy Reasons,-79.98,tikkie - Omitted due to Privacy Reasons
2022-08-05,GBP Koers - Omitted due to Privacy Reasons,-29.02,GBP Koers - Omitted due to Privacy Reasons
2022-08-05,catering - Omitted due to Privacy Reasons,-10.18,catering - Omitted due to Privacy Reasons
2022-08-05,creditcard - Omitted due to Privacy Reasons,-18.14,creditcard - Omitted due to Privacy Reasons
2022-08-05,PayPal - Omitted due to Privacy Reasons,-12.33,PayPal - Omitted due to Privacy Reasons
2022-08-05,PayPal - Omitted due to Privacy Reasons,-10.29,PayPal - Omitted due to Privacy Reasons
2022-08-04,Geneente Utrecht - Omitted due to Privacy Reasons,-19.31,Geneente Utrecht - Omitted due to Privacy Reasons
2022-08-04,food - Omitted due to Privacy Reasons,-6.25,food - Omitted due to Privacy Reasons
2022-08-04,Travel - Omitted due to Privacy Reasons,-3.74,Travel - Omitted due to Privacy Reasons
2022-08-04,bar - Omitted due to Privacy Reasons,-16.56,bar - Omitted due to Privacy Reasons
2022-08-04,GBP Koers - Omitted due to Privacy Reasons,-1.64,GBP Koers - Omitted due to Privacy Reasons
2022-08-04,GBP Koers - Omitted due to Privacy Reasons,-29.11,GBP Koers - Omitted due to Privacy Reasons
2022-08-04,GBP Koers - Omitted due to Privacy Reasons,-18.15,GBP Koers - Omitted due to Privacy Reasons
2022-08-03,Caffe - Omitted due to Privacy Reasons,-3.53,Caffe - Omitted due to Privacy Reasons
2022-08-03,Caffe - Omitted due to Privacy Reasons,-4.51,Caffe - Omitted due to Privacy Reasons
2022-08-03,Makelaar - Omitted due to Privacy Reasons,-18.59,Makelaar - Omitted due to Privacy Reasons
2022-08-03,Travel - Omitted due to Privacy Reasons,-10.08,Travel - Omitted due to Privacy Reasons
2022-08-03,GBP Koers - Omitted due to Privacy Reasons,-11.29,GBP Koers - Omitted due to Privacy Reasons
2022-08-03,AH - Omitted due to Privacy Reasons,-1.28,AH - Omitted due to Privacy Reasons
2022-08-03,bar - Omitted due to Privacy Reasons,-38.19,bar - Omitted due to Privacy Reasons
2022-08-03,PayPal - Omitted due to Privacy Reasons,-15.23,PayPal - Omitted due to Privacy Reasons
2022-08-03,PayPal - Omitted due to Privacy Reasons,-13.26,PayPal - Omitted due to Privacy Reasons
2022-08-02,tikkie - Omitted due to Privacy Reasons,-43.9,tikkie - Omitted due to Privacy Reasons
2022-08-02,Travel - Omitted due to Privacy Reasons,-8.92,Travel - Omitted due to Privacy Reasons
2022-08-02,NZA - Omitted due to Privacy Reasons,60.05,NZA - Omitted due to Privacy Reasons
2022-08-02,PayPal - Omitted due to Privacy Reasons,-7.2,PayPal - Omitted due to Privacy Reasons
2022-08-02,PayPal - Omitted due to Privacy Reasons,-13.38,PayPal - Omitted due to Privacy Reasons
2022-08-01,AH to go - Omitted due to Privacy Reasons,-2.2,AH to go - Omitted due to Privacy Reasons
2022-08-01,Albert Heijn - Omitted due to Privacy Reasons,-13.9,Albert Heijn - Omitted due to Privacy Reasons
2022-07-31,Sanifair - Omitted due to Privacy Reasons,-0.7,Sanifair - Omitted due to Privacy Reasons
2022-07-30,Boni - Omitted due to Privacy Reasons,-9.09,Boni - Omitted due to Privacy Reasons
2022-07-29,tikkie - Omitted due to Privacy Reasons,-1.04,tikkie - Omitted due to Privacy Reasons
2022-07-29,spaarrekening - Omitted due to Privacy Reasons,-948.95,spaarrekening - Omitted due to Privacy Reasons
2022-07-29,flatexbank - Omitted due to Privacy Reasons,-3086.25,flatexbank - Omitted due to Privacy Reasons
2022-07-29,spaarrekening - Omitted due to Privacy Reasons,-2420.36,spaarrekening - Omitted due to Privacy Reasons
2022-07-29,openbb - Omitted due to Privacy Reasons,8115.21,openbb - Omitted due to Privacy Reasons
2022-07-29,Transfer provisie - Omitted due to Privacy Reasons,-5.87,Transfer provisie - Omitted due to Privacy Reasons
2022-07-29,Albert Heijn - Omitted due to Privacy Reasons,-8.31,Albert Heijn - Omitted due to Privacy Reasons
2022-07-29,AnderZorg NV - Omitted due to Privacy Reasons,-91.92,AnderZorg NV - Omitted due to Privacy Reasons
2022-07-29,inShared - Omitted due to Privacy Reasons,-37.71,inShared - Omitted due to Privacy Reasons
2022-07-28,thuisbezorgd - Omitted due to Privacy Reasons,-10.8,thuisbezorgd - Omitted due to Privacy Reasons
2022-07-28,Ledig Erf - Omitted due to Privacy Reasons,-7.45,Ledig Erf - Omitted due to Privacy Reasons
2022-07-28,Ledig Erf - Omitted due to Privacy Reasons,-9.67,Ledig Erf - Omitted due to Privacy Reasons
2022-07-28,Ledig Erf - Omitted due to Privacy Reasons,-10.91,Ledig Erf - Omitted due to Privacy Reasons
